WeekBeginning,Location,DateOfSample,NoOfSamples
2021-04-05,Belfast,2021-04-07,4
2021-04-05,Dundrum North,2021-04-07,1
2021-04-05,Killough,2021-04-07,1
2021-04-05,Carlingford,2021-04-08,7
2021-04-12,Dundrum North,2021-04-12,1
2021-04-12,Killough,2021-04-12,1
2021-04-12,Foyle,2021-04-13,2
2021-04-12,Larne,2021-04-13,1
2021-04-12,Strangford,2021-04-13,2
2021-04-19,Belfast,2021-04-19,4
2021-04-19,Carlingford,2021-04-20,7
2021-04-26,Dundrum North,2011-04-26,1
2021-04-26,Killough,2021-04-26,1
2021-04-26,Foyle,2021-04-27,2
2021-04-26,Larne,2021-04-27,1
2021-04-26,Strangford,2021-04-27,2
2021-05-03,Carlingford,2021-05-05,7
2021-05-10,Belfast,2021-05-10,4
2021-05-10,Dundrum North,2021-05-10,1
2021-05-10,Killough,2021-05-10,1
2021-05-10,Foyle,2021-05-11,2
2021-05-10,Larne,2021-05-11,1
2021-05-10,Strangford,2021-05-11,2
2021-05-17,Carlingford,2021-05-18,7
2021-05-24,Belfast,2021-05-24,4
2021-05-24,Dundrum North,2021-05-24,1
2021-05-24,Killough,2021-05-24,1
2021-05-24,Strangford,2021-05-25,1
2021-05-24,Foyle,2021-05-25,2
2021-05-24,Larne,2021-05-25,1
2021-05-24,Strangford,2021-05-25,1
2021-05-31,Carlingford,2021-06-02,7
2021-06-07,Strangford,2021-06-07,1
2021-06-07,Strangford,2021-06-08,1
2021-06-07,Carlingford,2021-06-09,7
2021-06-07,Dundrum North,2021-06-09,1
2021-06-07,Killough,2021-06-09,1
2021-06-07,Foyle,2021-06-09,2
2021-06-14,Belfast,2021-06-14,4
2021-06-14,Larne,2021-06-15,1
2021-06-21,Dundrum North,2021-06-21,1
2021-06-21,Killough,2021-06-21,1
2021-06-21,Foyle,2021-06-22,2
2021-06-21,Strangford,2021-06-21,1
2021-06-21,Strangford,2021-06-22,1
2021-06-28,Belfast,2021-06-28,4
2021-06-28,Carlingford,2021-06-29,7
2021-06-28,Larne,2021-06-29,1
