WeekBeginning,Location,DateOfSample
2019-10-07,Belfast,2019-10-07
2019-10-07,Carlingford,2019-10-08
2019-10-07,Foyle ,2019-10-08
2019-10-07,Strangford,2019-10-08
2019-10-14,Belfast,2019-10-14
2019-10-14,Dundrum and Killough,2019-10-14
2019-10-14,Larne,2019-10-15
2019-10-21,Belfast,2019-10-21
2019-10-21,Carlingford,2019-10-22
2019-10-21,Foyle ,2019-10-22
2019-10-21,Strangford,2019-10-22
2019-10-28,Belfast,2019-10-28
2019-10-28,Dundrum and Killough,2019-10-28
2019-10-28,Larne,2019-10-29
2019-11-04,Belfast,2019-11-04
2019-11-04,Carlingford,2019-11-05
2019-11-04,Strangford,2019-11-05
2019-11-11,Belfast,2019-11-11
2019-11-11,Dundrum and Killough,2019-11-11
2019-11-11,Foyle ,2019-11-12
2019-11-11,Larne,2019-11-12
2019-11-18,Belfast,2019-11-18
2019-11-18,Carlingford,2019-11-19
2019-11-25,Belfast,2019-11-25
2019-11-25,Dundrum and Killough,2019-11-25
2019-11-25,Strangford,2019-11-25
2019-11-25,Foyle ,2019-11-26
2019-11-25,Larne ,2019-11-26
2019-12-02,Belfast,2019-12-02
2019-12-02,Carlingford,2019-12-03
2019-12-02,Strangford,2019-12-03
2019-12-09,Belfast,2019-12-09
2019-12-09,Dundrum and Killough,2019-12-09
2019-12-09,Foyle ,2019-12-10
2019-12-09,Larne,2019-12-10
2019-12-16,Belfast,2019-12-16
2019-12-16,Carlingford,2019-12-17
2019-12-16,Foyle ,2019-12-17
2019-12-16,Strangford,2019-12-17
2019-12-30,Belfast,2019-12-30
2019-12-30,Dundrum and Killough,2019-12-30
2019-12-30,Strangford,2019-12-30
2019-12-30,Larne,2019-12-31
2020-01-06,Belfast,2020-01-06
2020-01-06,Carlingford,2020-01-07
2020-01-13,Belfast,2020-01-13
2020-01-13,Dundrum and Killough,2020-01-13
2020-01-13,Strangford,2020-01-14
2020-01-13,Foyle ,2020-01-14
2020-01-13,Larne,2020-01-14
2020-01-20,Belfast,2020-01-20
2020-01-20,Carlingford,2020-01-21
2020-01-27,Belfast,2020-01-27
2020-01-27,Dundrum and Killough,2020-01-27
2020-01-27,Strangford,2020-01-28
2020-01-27,Foyle ,2020-01-28
2020-01-27,Larne,2020-01-28
2020-02-03,Belfast,2020-02-03
2020-02-03,Carlingford,2020-02-04
2020-02-10,Belfast,2020-02-10
2020-02-10,Dundrum and Killough,2020-02-10
2020-02-10,Strangford,2020-02-10
2020-02-10,Foyle ,2020-02-11
2020-02-10,Larne,2020-02-11
2020-02-17,Belfast,2020-02-17
2020-02-17,Carlingford,2020-02-18
2020-02-24,Belfast,2020-02-24
2020-02-24,Dundrum and Killough,2020-02-24
2020-02-24,Strangford,2020-02-24
2020-02-24,Foyle ,2020-02-25
2020-02-24,Larne,2020-02-25
2020-03-02,Belfast,2020-03-02
2020-03-02,Carlingford,2020-02-03
2020-03-09,Belfast,2020-03-09
2020-03-09,Dundrum and Killough,2020-03-09
2020-03-09,Strangford,2020-03-09
2020-03-09,Foyle ,2020-03-10
2020-03-09,Larne,2020-03-10
2020-03-16,Belfast,2020-03-16
2020-03-16,Carlingford,2020-03-16
2020-03-23,Belfast,2020-03-23
2020-03-23,Dundrum and Killough,2020-03-23
2020-03-23,Strangford,2020-03-23
2020-03-23,Foyle ,2020-03-24
2020-03-23,Larne,2020-03-24
2020-03-30,Belfast,2020-03-30
2020-03-30,Carlingford,2020-03-31
2020-03-30,Foyle ,2020-03-31
2020-03-30,Larne,2020-03-31
